30227486,"{'latitude': 41.3814305, 'longitude': 2.1755659, 'street_count': 3}"
30227487,"{'latitude': 41.3816613, 'longitude': 2.1758448, 'street_count': 4}"
30227489,"{'latitude': 41.3824097, 'longitude': 2.1768061, 'street_count': 2}"
30227492,"{'latitude': 41.3833283, 'longitude': 2.177971, 'street_count': 4}"
30227495,"{'latitude': 41.3839602, 'longitude': 2.178734, 'street_count': 4}"
30236715,"{'latitude': 41.3732646, 'longitude': 2.1627417, 'street_count': 4}"
30236716,"{'latitude': 41.3729058, 'longitude': 2.1625876, 'street_count': 3}"
30236718,"{'latitude': 41.3725151, 'longitude': 2.1624364, 'street_count': 3}"
30236720,"{'latitude': 41.3731607, 'longitude': 2.1614811, 'street_count': 3}"
30236748,"{'latitude': 41.3722005, 'longitude': 2.1630471, 'street_count': 4}"
30236749,"{'latitude': 41.3720641, 'longitude': 2.1637054, 'street_count': 4}"
30236750,"{'latitude': 41.3719232, 'longitude': 2.1643854, 'street_count': 4}"
30236751,"{'latitude': 41.3717782, 'longitude': 2.165075, 'street_count': 4}"
30236752,"{'latitude': 41.3716733, 'longitude': 2.1655913, 'street_count': 4}"
30236753,"{'latitude': 41.3715787, 'longitude': 2.1660458, 'street_count': 3}"
30236760,"{'latitude': 41.3737213, 'longitude': 2.1616867, 'street_count': 4}"
30236761,"{'latitude': 41.3725819, 'longitude': 2.16125, 'street_count': 4}"
30236773,"{'latitude': 41.3730769, 'longitude': 2.1633623, 'street_count': 4}"
30236779,"{'latitude': 41.3728784, 'longitude': 2.1640046, 'street_count': 4}"
30236780,"{'latitude': 41.3714679, 'longitude': 2.1634973, 'street_count': 3}"
30236782,"{'latitude': 41.368891, 'longitude': 2.1246147, 'street_count': 3}"
30236783,"{'latitude': 41.369201, 'longitude': 2.1250882, 'street_count': 4}"
30236784,"{'latitude': 41.3696313, 'longitude': 2.1257087, 'street_count': 4}"
30236785,"{'latitude': 41.3700482, 'longitude': 2.1262952, 'street_count': 4}"
30236786,"{'latitude': 41.3706581, 'longitude': 2.1271657, 'street_count': 4}"
30236807,"{'latitude': 41.3694104, 'longitude': 2.1224742, 'street_count': 3}"
30236808,"{'latitude': 41.3698529, 'longitude': 2.1231626, 'street_count': 4}"
30236809,"{'latitude': 41.370277, 'longitude': 2.1237927, 'street_count': 4}"
30236810,"{'latitude': 41.370708, 'longitude': 2.1243999, 'street_count': 4}"
30236811,"{'latitude': 41.3711894, 'longitude': 2.1250982, 'street_count': 4}"
30236812,"{'latitude': 41.3716837, 'longitude': 2.125811, 'street_count': 4}"
30236813,"{'latitude': 41.3721659, 'longitude': 2.126484, 'street_count': 3}"
30236815,"{'latitude': 41.372444, 'longitude': 2.121292, 'street_count': 3}"
30236816,"{'latitude': 41.3715012, 'longitude': 2.1221575, 'street_count': 3}"
30236830,"{'latitude': 41.3726774, 'longitude': 2.1216581, 'street_count': 3}"
30236831,"{'latitude': 41.3717173, 'longitude': 2.122535, 'street_count': 3}"
30236839,"{'latitude': 41.3688856, 'longitude': 2.1173927, 'street_count': 3}"
30236840,"{'latitude': 41.3691468, 'longitude': 2.1178713, 'street_count': 5}"
30236842,"{'latitude': 41.3698376, 'longitude': 2.1191208, 'street_count': 4}"
30236843,"{'latitude': 41.3703682, 'longitude': 2.1200802, 'street_count': 4}"
30236844,"{'latitude': 41.3708571, 'longitude': 2.1210005, 'street_count': 4}"
30236845,"{'latitude': 41.3711628, 'longitude': 2.1215472, 'street_count': 3}"
30236846,"{'latitude': 41.3715521, 'longitude': 2.1222423, 'street_count': 3}"
30236847,"{'latitude': 41.3719334, 'longitude': 2.1229395, 'street_count': 4}"
30236848,"{'latitude': 41.3723998, 'longitude': 2.1236892, 'street_count': 3}"
30236892,"{'latitude': 41.371023, 'longitude': 2.1228871, 'street_count': 4}"
30236893,"{'latitude': 41.3686916, 'longitude': 2.1256958, 'street_count': 3}"
30236901,"{'latitude': 41.369855, 'longitude': 2.1281473, 'street_count': 3}"
30236902,"{'latitude': 41.3694725, 'longitude': 2.1275391, 'street_count': 4}"
30236905,"{'latitude': 41.3689765, 'longitude': 2.126487, 'street_count': 4}"
30236908,"{'latitude': 41.3690014, 'longitude': 2.1241738, 'street_count': 3}"
30236925,"{'latitude': 41.3739148, 'longitude': 2.1211772, 'street_count': 3}"
30236927,"{'latitude': 41.3732876, 'longitude': 2.1217177, 'street_count': 3}"
30236928,"{'latitude': 41.3729381, 'longitude': 2.1220246, 'street_count': 5}"
30236929,"{'latitude': 41.3726302, 'longitude': 2.1223228, 'street_count': 3}"
30236930,"{'latitude': 41.3714456, 'longitude': 2.1235134, 'street_count': 4}"
30236932,"{'latitude': 41.3757365, 'longitude': 2.1190355, 'street_count': 3}"
30236941,"{'latitude': 41.3739633, 'longitude': 2.1197564, 'street_count': 4}"
30236943,"{'latitude': 41.3733266, 'longitude': 2.1201979, 'street_count': 3}"
30236944,"{'latitude': 41.3727103, 'longitude': 2.1205689, 'street_count': 4}"
30236945,"{'latitude': 41.3721794, 'longitude': 2.1209061, 'street_count': 4}"
30237016,"{'latitude': 41.374469, 'longitude': 2.1187654, 'street_count': 4}"
30237017,"{'latitude': 41.373707, 'longitude': 2.1192561, 'street_count': 4}"
30237019,"{'latitude': 41.3724702, 'longitude': 2.1200093, 'street_count': 4}"
30237020,"{'latitude': 41.3718369, 'longitude': 2.1203996, 'street_count': 4}"
30237021,"{'latitude': 41.3700445, 'longitude': 2.1214759, 'street_count': 4}"
30237022,"{'latitude': 41.3692377, 'longitude': 2.1219888, 'street_count': 3}"
30237023,"{'latitude': 41.3731934, 'longitude': 2.1182496, 'street_count': 3}"
30237024,"{'latitude': 41.372221, 'longitude': 2.1192743, 'street_count': 4}"
30237025,"{'latitude': 41.3715642, 'longitude': 2.1199789, 'street_count': 3}"
30237052,"{'latitude': 41.3728702, 'longitude': 2.1176629, 'street_count': 3}"
30237053,"{'latitude': 41.3718923, 'longitude': 2.1185028, 'street_count': 4}"
30237055,"{'latitude': 41.3710638, 'longitude': 2.1192551, 'street_count': 4}"
30237057,"{'latitude': 41.3696609, 'longitude': 2.1209051, 'street_count': 4}"
30237058,"{'latitude': 41.369055, 'longitude': 2.1213629, 'street_count': 3}"
30237070,"{'latitude': 41.3724866, 'longitude': 2.1168674, 'street_count': 4}"
30237071,"{'latitude': 41.3715421, 'longitude': 2.1176743, 'highway': 'crossing', 'street_count': 4}"
30237072,"{'latitude': 41.3710661, 'longitude': 2.1180828, 'street_count': 3}"
30237073,"{'latitude': 41.370564, 'longitude': 2.1185188, 'street_count': 4}"
30237074,"{'latitude': 41.3690711, 'longitude': 2.1197732, 'street_count': 3}"
30237075,"{'latitude': 41.3694368, 'longitude': 2.1204638, 'street_count': 3}"
30237077,"{'latitude': 41.371901, 'longitude': 2.1242361, 'street_count': 4}"
30237078,"{'latitude': 41.3722245, 'longitude': 2.1248634, 'street_count': 4}"
30237081,"{'latitude': 41.372685, 'longitude': 2.1257544, 'street_count': 3}"
30237100,"{'latitude': 41.3694511, 'longitude': 2.1166586, 'street_count': 4}"
30237101,"{'latitude': 41.3698673, 'longitude': 2.1174314, 'street_count': 5}"
30237102,"{'latitude': 41.3733711, 'longitude': 2.1226625, 'street_count': 5}"
30237103,"{'latitude': 41.3737502, 'longitude': 2.123202, 'street_count': 3}"
30237104,"{'latitude': 41.3741959, 'longitude': 2.1238666, 'street_count': 4}"
30237118,"{'latitude': 41.3705962, 'longitude': 2.1153605, 'street_count': 3}"
30237119,"{'latitude': 41.3713062, 'longitude': 2.1170064, 'highway': 'crossing', 'street_count': 3}"
30237155,"{'latitude': 41.3722556, 'longitude': 2.1163173, 'street_count': 4}"
30237156,"{'latitude': 41.3727252, 'longitude': 2.1173601, 'street_count': 3}"
30237157,"{'latitude': 41.3734494, 'longitude': 2.1187341, 'street_count': 3}"
30237158,"{'latitude': 41.3741656, 'longitude': 2.1201514, 'street_count': 3}"
30237176,"{'latitude': 41.3751391, 'longitude': 2.1202032, 'street_count': 3}"
30237190,"{'latitude': 41.3724831, 'longitude': 2.1134044, 'street_count': 3}"
30237192,"{'latitude': 41.3731584, 'longitude': 2.1159833, 'street_count': 4}"
30237193,"{'latitude': 41.3732812, 'longitude': 2.1164248, 'street_count': 4}"
30237194,"{'latitude': 41.3734122, 'longitude': 2.1167202, 'street_count': 3}"
30237195,"{'latitude': 41.3737311, 'longitude': 2.1173448, 'street_count': 3}"
30237196,"{'latitude': 41.3741378, 'longitude': 2.1181152, 'street_count': 3}"
30237197,"{'latitude': 41.3746762, 'longitude': 2.1191958, 'street_count': 5}"
30237233,"{'latitude': 41.3730496, 'longitude': 2.1179925, 'street_count': 3}"
30237235,"{'latitude': 41.3721068, 'longitude': 2.113787, 'street_count': 3}"
30237237,"{'latitude': 41.3722877, 'longitude': 2.1144977, 'street_count': 1}"
30237241,"{'latitude': 41.3727252, 'longitude': 2.1161509, 'street_count': 3}"
30237277,"{'latitude': 41.3735826, 'longitude': 2.1122549, 'street_count': 3}"
30237278,"{'latitude': 41.3738412, 'longitude': 2.1131679, 'street_count': 3}"
30237279,"{'latitude': 41.3739965, 'longitude': 2.1137102, 'street_count': 4}"
30237280,"{'latitude': 41.374212, 'longitude': 2.1144853, 'street_count': 3}"
30237294,"{'latitude': 41.3745607, 'longitude': 2.1148984, 'street_count': 3}"
30237295,"{'latitude': 41.3734357, 'longitude': 2.1153987, 'street_count': 3}"
30237306,"{'latitude': 41.3746416, 'longitude': 2.1153779, 'street_count': 3}"
30237307,"{'latitude': 41.3735485, 'longitude': 2.1158181, 'street_count': 4}"
30237308,"{'latitude': 41.3716741, 'longitude': 2.1167345, 'street_count': 3}"
30237312,"{'latitude': 41.3705111, 'longitude': 2.1170421, 'street_count': 4}"
30237319,"{'latitude': 41.3713512, 'longitude': 2.1145866, 'street_count': 3}"
30237351,"{'latitude': 41.3730858, 'longitude': 2.1141817, 'street_count': 3}"
30237352,"{'latitude': 41.3733133, 'longitude': 2.1149669, 'street_count': 3}"
30237354,"{'latitude': 41.374563, 'longitude': 2.1143053, 'street_count': 3}"
