id,properties
30236760,"{'y': 41.3737213, 'x': 2.1616867, 'street_count': 4}"
30236761,"{'y': 41.3725819, 'x': 2.16125, 'street_count': 4}"
30236773,"{'y': 41.3730769, 'x': 2.1633623, 'street_count': 4}"
30236779,"{'y': 41.3728784, 'x': 2.1640046, 'street_count': 4}"
30236780,"{'y': 41.3714679, 'x': 2.1634973, 'street_count': 3}"
30236782,"{'y': 41.368891, 'x': 2.1246147, 'street_count': 3}"
30236783,"{'y': 41.369201, 'x': 2.1250882, 'street_count': 4}"
30236784,"{'y': 41.3696313, 'x': 2.1257087, 'street_count': 4}"
30236785,"{'y': 41.3700482, 'x': 2.1262952, 'street_count': 4}"
30236786,"{'y': 41.3706581, 'x': 2.1271657, 'street_count': 4}"
30236807,"{'y': 41.3694104, 'x': 2.1224742, 'street_count': 3}"
30236808,"{'y': 41.3698529, 'x': 2.1231626, 'street_count': 4}"
30236809,"{'y': 41.370277, 'x': 2.1237927, 'street_count': 4}"
30236810,"{'y': 41.370708, 'x': 2.1243999, 'street_count': 4}"
30236811,"{'y': 41.3711894, 'x': 2.1250982, 'street_count': 4}"
30236812,"{'y': 41.3716837, 'x': 2.125811, 'street_count': 4}"
30236813,"{'y': 41.3721659, 'x': 2.126484, 'street_count': 3}"
30236815,"{'y': 41.372444, 'x': 2.121292, 'street_count': 3}"
30236816,"{'y': 41.3715012, 'x': 2.1221575, 'street_count': 3}"
30236830,"{'y': 41.3726774, 'x': 2.1216581, 'street_count': 3}"
30236831,"{'y': 41.3717173, 'x': 2.122535, 'street_count': 3}"
30236839,"{'y': 41.3688856, 'x': 2.1173927, 'street_count': 3}"
30236840,"{'y': 41.3691468, 'x': 2.1178713, 'street_count': 5}"
30236842,"{'y': 41.3698376, 'x': 2.1191208, 'street_count': 4}"
30236843,"{'y': 41.3703682, 'x': 2.1200802, 'street_count': 4}"
30236844,"{'y': 41.3708571, 'x': 2.1210005, 'street_count': 4}"
30236845,"{'y': 41.3711628, 'x': 2.1215472, 'street_count': 3}"
